event_name,x,y,error
2022-07-14T01:44:55.000Z,-7,87,0.0004137126245187752
2022-07-14T02:36:20.000Z,1,62,0.0006658861536523293
2022-07-14T02:22:55.306Z,-21,39,0.0004716737484591605
2022-07-14T01:10:25.000Z,-48,8,0.002542512661867986
2022-07-14T02:29:15.000Z,12,40,0.0020132211175146065
2022-07-14T01:56:55.000Z,21,65,0.002237877865991769
2022-07-14T00:58:15.000Z,-13,8,0.0008109867923305449
2022-07-14T02:09:05.000Z,-37,55,0.0016259696923849479
2022-07-14T01:34:40.000Z,-2,11,0.0008835743467820034
2022-07-14T02:11:45.000Z,-45,41,0.0030684192069352846
2022-07-14T01:52:55.000Z,18,85,0.0018657463884282674
2022-07-14T02:32:30.000Z,16,56,0.0008660436134392604
2022-07-14T01:04:05.000Z,-60,-17,0.0032276954173781564
2022-07-14T02:05:20.000Z,-28,72,0.002163507909914948
2022-07-14T01:42:25.000Z,-52,99,0.0038613803109727026
2022-07-14T02:14:20.000Z,-37,32,0.003147868360437663
2022-07-14T02:17:30.000Z,-29,50,0.0013488101975047645
2022-07-14T02:27:35.000Z,1,39,0.0008140069047806306
2022-07-14T02:34:25.000Z,7,60,0.002360358305171824
2022-07-14T01:49:35.000Z,8,83,0.000600675827519709
